CH0 - 240.0,CH0 - 160.0,CH0 - 40.0,CH0 - 0.0,CH0 - 200.0,CH0 - 80.0,CH0 - 120.0
-57.911455390284985,-45.54081775835256,-38.13806872854133,-35.07428899365827,-47.087093238607764,-40.682060510240476,-42.75073334606806
-110.0,-46.07770620299789,-38.09444540660034,-35.03202520603604,-46.783122615621096,-40.7597355772822,-42.444997327759985
-62.3186494283124,-46.427825656431224,-38.21509324031017,-35.07305301911284,-47.21219006138304,-40.761303337436,-42.56209249121875
-57.75433711925383,-46.201626645487025,-38.26290806140767,-35.13811935729316,-46.6821690549572,-40.8271989406297,-42.68436844749682
-68.66472049634118,-46.60797795346417,-38.21858583629349,-35.204712562170556,-46.41110725037453,-40.80043257118214,-42.714274851288714
-110.0,-46.03443666842922,-38.185545842472315,-35.27260378015721,-46.98385673184778,-40.720028068090315,-42.714274851288714
-55.4064095487513,-46.6415512046494,-38.178245423139444,-35.33363058961375,-46.70720479594168,-40.69950801982798,-42.824468040752535
-110.0,-46.70720479594168,-38.088010776599845,-35.357844533933175,-46.72784324154955,-40.73908823496125,-43.01457387086064
-110.0,-46.43455554256394,-38.26930211097071,-35.383058520185344,-47.08709323749743,-40.685170056622326,-42.98017032680274
-110.0,-46.12356239056413,-38.24477229509923,-35.25838741836297,-46.38378495676746,-40.77178932953515,-42.88456971426723
-58.21461826002954,-46.03443666685915,-38.236953196464476,-35.297382896153735,-46.35788974897922,-40.860171427517365,-42.984779688750464
-54.91578544115458,-45.8432279948245,-38.236953196464476,-35.280691652775225,-46.664620425152876,-40.95038959578087,-42.722818866699875
-57.08285933130719,-45.913948394823635,-38.198853327180856,-35.343811077288265,-46.10987794229041,-40.85667136628483,-42.867748545519305
-110.0,-45.68255900446839,-38.185545842472315,-35.35633633982656,-46.6335797701076,-40.676870928342545,-43.00543925827284
-60.10521509007789,-45.78031906332345,-38.11050200173132,-35.42110148513739,-46.39158372215162,-40.669760414357654,-42.57159792882051
-57.75433711925383,-46.03443666685915,-38.16056675615009,-35.52661886245197,-46.67761216595444,-40.843488880258896,-43.001364484811674
-57.75433711925383,-46.03443666685915,-38.1452429155318,-35.64323257085825,-46.37848766526163,-40.85481747630596,-42.42189884225503
-71.21325532582318,-45.82536251163263,-38.09188866743724,-35.71034643976809,-46.35788974897922,-40.95038959575014,-42.31921395735324
-54.89269275768612,-46.200225128557975,-38.0844400970357,-35.63850253314896,-46.35788974897922,-40.587795577307006,-42.46311814336613
-110.0,-45.787992941186246,-38.18332267590256,-35.631397378809964,-46.37283258321159,-40.73555654478212,-42.483167017811866
-59.94848306707014,-46.31129601915501,-38.199513380745756,-35.56350357211094,-46.70720479594168,-40.58007120130811,-42.42395451128138
-110.0,-45.8016920837335,-38.329683539054585,-35.453474304487635,-46.80530378938735,-40.66342544144467,-42.74740220330158
-110.0,-46.16247045631637,-38.21350694893133,-35.367855298221436,-47.087093238607764,-40.87906668041255,-42.978576774666294
-63.66645904311005,-45.808626244323335,-38.11008115877566,-35.429015215213155,-46.69912903218315,-41.027507632892,-42.73456533640319
-110.0,-45.66489023419797,-38.16892552792278,-35.44462598744437,-46.57690724508993,-41.04815254373888,-42.985746519957786
-54.91999612586096,-46.00620618192934,-38.185545842472315,-35.50797661358807,-46.17844546825023,-40.90668240584027,-42.750703578776
-110.0,-45.73355725442116,-38.086712008167126,-35.46427046698355,-46.95671520740896,-40.62367896774232,-42.91767400359963
-110.0,-45.70835283587948,-38.185545842472315,-35.43403097290703,-47.087093238607764,-40.761303337436,-43.086117463332265
-110.0,-45.49689113389644,-38.21633394086807,-35.415987829221585,-47.13047880837985,-40.720379191357765,-42.9973380329777
-57.75433711925383,-45.78320298412707,-38.32628024461681,-35.47111738938011,-47.42240337998027,-40.76319179904206,-42.68185758286105
-60.13772464589937,-46.070551982899005,-38.25752120524258,-35.58290639208779,-46.84214929757891,-40.76304924612815,-42.49026762616781
-110.0,-46.33261980306294,-38.19834074582401,-35.68302130748825,-46.318469379360124,-40.63061098706919,-42.579550036172336
